Approach,Mechanism,Missingness,N,AUROC_Mean,AUROC_CI_Lower,AUROC_CI_Upper,AUPRC_Mean,AUPRC_CI_Lower,AUPRC_CI_Upper,Brier_Mean,Brier_CI_Lower,Brier_CI_Upper,ECE_Mean,ECE_CI_Lower,ECE_CI_Upper
Explicit Imputation,MNAR,10,20,0.9133482142857143,0.9025570330328935,0.9241393955385352,0.9627153201345834,0.9571949773889163,0.9682356628802504,0.12506371404959588,0.1147122987900267,0.13541512930916505,0.13703869415501901,0.1271960949887856,0.14688129332125244
Explicit Imputation,MNAR,20,20,0.909107142857143,0.8931325262884988,0.9250817594257872,0.9612593559521333,0.9547493449316787,0.9677693669725879,0.12659247111888827,0.11305382414822715,0.1401311180895494,0.13267338797906597,0.11702344452667417,0.14832333143145776
Explicit Imputation,MNAR,30,20,0.905625,0.8903313904486188,0.9209186095513813,0.9594336858065171,0.952718995973613,0.9661483756394212,0.12330301122854526,0.1102479508069593,0.1363580716501312,0.12359656006207362,0.10859791011628186,0.13859521000786537
Explicit Imputation,MNAR,40,20,0.8818303571428571,0.8625962563910976,0.9010644578946165,0.9474369557623767,0.9376114567689418,0.9572624547558117,0.13799168350804142,0.12391067372568651,0.15207269329039633,0.13832674888967006,0.12213848170306751,0.1545150160762726
Explicit Imputation,MNAR,50,20,0.8490178571428573,0.820942746914494,0.8770929673712206,0.9271575623616528,0.9080745066255548,0.9462406180977508,0.15086430641670334,0.13629126799329958,0.1654373448401071,0.1383405167207706,0.12078859818065926,0.15589243526088195
Native,MAR,10,20,0.9324107142857144,0.9233514069915131,0.9414700215799158,0.9725047985839577,0.9685656708268915,0.9764439263410238,0.12102574420664156,0.11414062316548283,0.12791086524780027,0.14463467462828342,0.13601498579632526,0.15325436346024157
Native,MAR,20,20,0.9027678571428572,0.8888610804391157,0.9166746338465988,0.9589225952217969,0.9524722302081386,0.9653729602354552,0.139258758563581,0.12699674103525135,0.15152077609191064,0.15647984612367902,0.14393982010702983,0.1690198721403282
Native,MAR,30,20,0.8809821428571428,0.8683241335555588,0.8936401521587268,0.9484793559151738,0.9415641924098782,0.9553945194204695,0.15279446837996,0.14305637550304215,0.16253256125687784,0.15806061297326404,0.14780424848462606,0.16831697746190202
Native,MAR,40,20,0.8357142857142857,0.8173080225410025,0.8541205488875689,0.9273510770908328,0.9186577535289475,0.936044400652718,0.17532914023402277,0.16271028990377542,0.1879479905642701,0.1666025908408212,0.15222360508699165,0.18098157659465078
Native,MAR,50,20,0.7999553571428571,0.7823355833721604,0.8175751309135539,0.9080533897757219,0.8986145926339358,0.917492186917508,0.19424707480429676,0.18286861297799517,0.20562553663059835,0.18240776313468815,0.16313219677248508,0.20168332949689122
Native,MCAR,10,20,0.9302678571428572,0.9203144962707556,0.9402212180149588,0.9713392902197521,0.9670621101109607,0.9756164703285435,0.12198954088050593,0.11269206277767624,0.1312870189833356,0.1410424341082427,0.13313729120477633,0.14894757701170905
Native,MCAR,20,20,0.9008928571428572,0.8838093397084165,0.9179763745772979,0.9582119859205367,0.950686177171956,0.9657377946691174,0.14390173097583397,0.12799179186712883,0.15981167008453911,0.1521688005649576,0.1363850113759235,0.16795258975399172
Native,MCAR,30,20,0.8862500000000001,0.8665303010193223,0.9059696989806779,0.9521439874327722,0.9436826947762814,0.9606052800892629,0.1476298011815813,0.13249908139550662,0.162760520967656,0.15295530780236802,0.1388435579167937,0.16706705768794233
Native,MCAR,40,20,0.8547321428571427,0.8277717798487215,0.8816925058655639,0.9372102849282016,0.9241039443067384,0.9503166255496648,0.16333110887993843,0.1421938406883038,0.18446837707157307,0.1624969421465899,0.14148949800237723,0.1835043862908026
Native,MCAR,50,20,0.831607142857143,0.803753702763059,0.859460582951227,0.9281945804715821,0.9159058757238799,0.9404832852192843,0.1712789054791757,0.15280274437310754,0.18975506658524388,0.165440971433532,0.14648020907146928,0.18440173379559474
Native,MNAR,10,20,0.9276785714285714,0.9207311001939628,0.93462604266318,0.9700062370352913,0.9670542961762082,0.9729581778943744,0.11512321670434844,0.10902256360108058,0.1212238698076163,0.134887006761981,0.12482744047616713,0.14494657304779487
Native,MNAR,20,20,0.9108035714285713,0.9002688670183941,0.9213382758387484,0.9627614491478627,0.958224077812903,0.9672988204828223,0.12342194627416798,0.1134827026976093,0.13336118985072667,0.12995098381960654,0.11926765138636826,0.1406343162528448
Native,MNAR,30,20,0.8915178571428569,0.8743070479964192,0.9087286662892946,0.9533944977064991,0.9455662174007604,0.9612227780122378,0.13072685615558843,0.11778015232960806,0.1436735599815688,0.1268265162466788,0.10918583198904308,0.1444672005043145
Native,MNAR,40,20,0.8736607142857145,0.8521424909678489,0.89517893760358,0.9428921128684975,0.9321453035722238,0.9536389221647712,0.14372779056976187,0.12721909530765396,0.16023648583186978,0.13287296408568233,0.11093975872260875,0.15480616944875591
Native,MNAR,50,20,0.8294642857142855,0.8064285128139392,0.8525000586146319,0.9201593558136697,0.9059262906277249,0.9343924209996145,0.16886006378590857,0.15525863485351163,0.1824614927183055,0.14960178227401244,0.13018895965000946,0.16901460489801542
