Dataset,Approach,Mechanism,Missingness,AUROC_Mean,AUROC_SD,ECE_Mean,ECE_SD
readmission,Native,MAR,50,0.613085304727628,0.0042762150009315,0.33009614282561006,0.0011273012794132638
readmission,Native,MCAR,10,0.6449400232447411,0.0028931250175775105,0.3190566327432923,0.0009379876791928071
readmission,Native,MCAR,20,0.6353498794016816,0.00363210540081073,0.32051247226220203,0.0011632237275152888
readmission,Native,MCAR,30,0.6259925019650449,0.004789697010758264,0.3232130082463795,0.001228349720432827
readmission,Native,MCAR,40,0.6149211079455943,0.0038927611571815068,0.3273857377438426,0.00106602518244179
readmission,Native,MCAR,50,0.6048002711115361,0.0038777402751953203,0.3315751617944215,0.0011184901884950355
readmission,Native,MNAR,10,0.6442064324801244,0.004139125793336048,0.31900297018126567,0.0008303988492673437
readmission,Native,MNAR,20,0.6336599858916612,0.004681885092570231,0.3204471774025543,0.0012879575939462313
readmission,Native,MNAR,30,0.6245863915138796,0.004567636860541561,0.3233823691571542,0.0008816741481890336
readmission,Native,MNAR,40,0.6145907358098489,0.004960014054253578,0.3270758145200442,0.0010790573047577648
readmission,Native,MNAR,50,0.6004516297508043,0.005946187096435766,0.3314596067357966,0.0008944294666010067
early_stage_diabetes,Explicit Imputation,MAR,10,0.9179910714285715,0.029369828943578806,0.1529877701911199,0.027207378684807767
early_stage_diabetes,Explicit Imputation,MAR,20,0.8816071428571428,0.039329905084324816,0.1638440658703592,0.037800291140525466
early_stage_diabetes,Explicit Imputation,MAR,30,0.8419196428571428,0.05067885937674849,0.16834292348985577,0.03446682663840994
early_stage_diabetes,Explicit Imputation,MAR,40,0.8212053571428571,0.05070815894766283,0.18039360871794177,0.03840612350987955
early_stage_diabetes,Explicit Imputation,MAR,50,0.7652232142857143,0.06101311012624353,0.19102863504313955,0.03301296292401169
early_stage_diabetes,Explicit Imputation,MCAR,10,0.9077678571428572,0.02556770171732955,0.14768572588286857,0.03034942580005129
early_stage_diabetes,Explicit Imputation,MCAR,20,0.8763839285714287,0.04424680997167109,0.1650539799383385,0.035818432925666575
early_stage_diabetes,Explicit Imputation,MCAR,30,0.8720089285714285,0.04238092543066784,0.16055640307638575,0.030778957942174473
early_stage_diabetes,Explicit Imputation,MCAR,40,0.8303571428571429,0.050556615805634954,0.1757870918450256,0.039251435636156455
early_stage_diabetes,Explicit Imputation,MCAR,50,0.8065178571428572,0.056030721898396245,0.1829698481103953,0.03634548806320283
early_stage_diabetes,Explicit Imputation,MNAR,10,0.9133482142857143,0.023057369826216086,0.13703869415501901,0.021030547417385487
early_stage_diabetes,Explicit Imputation,MNAR,20,0.909107142857143,0.03413274538030252,0.13267338797906597,0.03343902076029353
early_stage_diabetes,Explicit Imputation,MNAR,30,0.905625,0.03267764697324212,0.12359656006207362,0.032047410806270646
early_stage_diabetes,Explicit Imputation,MNAR,40,0.8818303571428571,0.041097240785580344,0.13832674888967006,0.03458924974219317
early_stage_diabetes,Explicit Imputation,MNAR,50,0.8490178571428573,0.059987705171566666,0.1383405167207706,0.0375029449934571
early_stage_diabetes,Native,MAR,10,0.9324107142857144,0.01935689835597324,0.14463467462828342,0.018417571582667144
early_stage_diabetes,Native,MAR,20,0.9027678571428572,0.029714420139588943,0.15647984612367902,0.026794102584521955
early_stage_diabetes,Native,MAR,30,0.8809821428571428,0.02704619586053306,0.15806061297326404,0.021914634139351272
early_stage_diabetes,Native,MAR,40,0.8357142857142857,0.03932841152066774,0.1666025908408212,0.030723382777513346
early_stage_diabetes,Native,MAR,50,0.7999553571428571,0.0376479303393239,0.18240776313468815,0.04118583978995886
early_stage_diabetes,Native,MCAR,10,0.9302678571428572,0.021267210443883945,0.1410424341082427,0.016890811041345943
early_stage_diabetes,Native,MCAR,20,0.9008928571428572,0.03650211873844137,0.1521688005649576,0.03372500712055574
early_stage_diabetes,Native,MCAR,30,0.8862500000000001,0.04213481189932646,0.15295530780236802,0.03015238354204219
early_stage_diabetes,Native,MCAR,40,0.8547321428571427,0.057605839988250175,0.1624969421465899,0.04488631942958714
early_stage_diabetes,Native,MCAR,50,0.831607142857143,0.0595140656185131,0.165440971433532,0.04051320237576374
early_stage_diabetes,Native,MNAR,10,0.9276785714285714,0.014844567046030772,0.134887006761981,0.021494138103065746
early_stage_diabetes,Native,MNAR,20,0.9108035714285713,0.022509359254050905,0.12995098381960654,0.02282693072412184
early_stage_diabetes,Native,MNAR,30,0.8915178571428569,0.0367741012036195,0.1268265162466788,0.03769260949161517
early_stage_diabetes,Native,MNAR,40,0.8736607142857145,0.045977694324561266,0.13287296408568233,0.04686438080154908
early_stage_diabetes,Native,MNAR,50,0.8294642857142855,0.049220221822997214,0.14960178227401244,0.041479113372816796
