Approach,Mechanism,Missingness,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,AUROC_Mean,AUROC_Std,AUPRC_Mean,AUPRC_Std,Brier_Mean,Brier_Std,ECE_Mean,ECE_Std
Explicit Imputation,MAR,10,0.6670236808489732,0.003919892989818005,0.17161942269645844,0.0021575501061536872,0.5184500220167327,0.005579726787820916,0.25786818493450914,0.002778200740745897,0.6477673075224611,0.0020229321632169207,0.20334162059879968,0.0019439918430094276,0.21907495991957798,0.00039067072687269894,0.3441412800899197,0.0005509980631508983
Explicit Imputation,MAR,20,0.6633511840424486,0.004802183168795913,0.1688138878949278,0.0020244883324632527,0.5140466754733597,0.008413673443485988,0.25414659743649004,0.0027201293514479852,0.6402029429442636,0.0018293746144443554,0.1970364897760309,0.0029566686566244306,0.22090584381094858,0.00047740405042459496,0.34681745684910026,0.0008106570353482931
Explicit Imputation,MAR,30,0.6549670826373195,0.006379738452525,0.16393596853343934,0.002267285533438689,0.5102377807133421,0.010854682880107555,0.24812068079309837,0.003070994183528165,0.6323583444293625,0.0029239399587064467,0.19073731588042273,0.003887470682940164,0.2227472951925625,0.0004883541791685525,0.34944813763741994,0.0008534200334500648
Explicit Imputation,MAR,40,0.6378082932101798,0.0073180500398501705,0.15788887281585162,0.0017964047613152135,0.5182518714222809,0.013506054041915216,0.24200840333392587,0.002741500255952026,0.6235340658380544,0.0028084066747608243,0.18415862943712166,0.004400949864410272,0.22492119533789365,0.0005807140321147996,0.35223507655071973,0.00087289758612818
Explicit Imputation,MAR,50,0.610216665028987,0.006637959617082981,0.15126967460722415,0.0021714699151792376,0.540708938793483,0.010716161741572841,0.2363864024494895,0.0031149105121878965,0.6152189675656015,0.00347606241790829,0.17756042469493102,0.004405685267917964,0.22724788499184276,0.0005686830034356635,0.3554393284861795,0.0008864178950772556
Explicit Imputation,MCAR,10,0.6707944384396187,0.0032488792123864787,0.17290037066222586,0.001482687984739342,0.5154997798326728,0.007796338759618893,0.25893993101536783,0.002275203522098248,0.6473668210480014,0.0029919369571777517,0.20302123643501785,0.0026072904799456093,0.21926151818237197,0.0004420462058220623,0.3446322838264534,0.0007139381678305526
Explicit Imputation,MCAR,20,0.6687481576102978,0.003214632909711649,0.169611712117074,0.001944447824836733,0.5053940995156319,0.009708276783740014,0.25397624949908726,0.0031538156140965804,0.638776366294536,0.002825235395507021,0.1960334256216855,0.0025870237359159804,0.2211708911400668,0.0004260462851052417,0.3475325068625467,0.0006704005199764535
Explicit Imputation,MCAR,30,0.6649356391864008,0.004943994679424885,0.16551344514804903,0.002415182725751433,0.49557463672391017,0.01237685076667582,0.24813037768709964,0.0038154355490100738,0.6298463110789616,0.0042182112629687366,0.18905717628364166,0.004526036613750571,0.22331272976919697,0.0004249039456407224,0.3505478733970066,0.0006201758171654907
Explicit Imputation,MCAR,40,0.6612606858602732,0.005217207397476236,0.1607147631501233,0.0021172423903942856,0.4821884632320564,0.011575883279763074,0.2410581777234786,0.0033292714713807478,0.619849882847313,0.004295119385422776,0.18146033734933634,0.004298831973710259,0.22573978948340315,0.0006746358606105775,0.35393382411855,0.0007888390826371168
Explicit Imputation,MCAR,50,0.6526383020536504,0.0067496949091750205,0.15527362305203032,0.0025709067380460626,0.47586966094231614,0.013171434625329898,0.23411843455612105,0.0038422743467772316,0.609612726730768,0.005803330286638664,0.17426364082633633,0.005272875728166953,0.22821721805121142,0.0007475438786528562,0.3574443519095864,0.0009384555502104251
Explicit Imputation,MNAR,10,0.6694163309423209,0.0038345931831582675,0.1717558937268683,0.0021806136388177254,0.5134962571554381,0.007648565513952367,0.2574030074003249,0.003049617016085821,0.6450273669582645,0.002643465699453098,0.2009068673528652,0.0032576063085022386,0.21943898179002938,0.0003857046955910167,0.3445879062888065,0.0004970552256735389
Explicit Imputation,MNAR,20,0.6634199665913334,0.004353952361347274,0.167421012708096,0.0024654203677508435,0.5075297225891677,0.00882452018459804,0.2517738791714537,0.0034934865203562994,0.6360727266143715,0.0036662314597132703,0.1932169871346912,0.0035378846379590214,0.22151991590537445,0.0004898915980210188,0.34757423884443694,0.0006406523444732576
Explicit Imputation,MNAR,30,0.6615480986538272,0.0053844020638647875,0.16406029086951618,0.0024181991377310317,0.49641127256715106,0.008326958778562762,0.2465995056310895,0.0031550826574467186,0.6292145076766112,0.003971238221513845,0.18630882932678866,0.00429204611360595,0.2234072688863849,0.0007169357214289255,0.3506134323270437,0.001023373733109595
Explicit Imputation,MNAR,40,0.6490444138744227,0.005757922981754971,0.15824120517645743,0.0029558044576632834,0.4966314398943196,0.011921415825491211,0.23999111563050346,0.004338991369849699,0.617842647897886,0.005429758201272208,0.17762268578660817,0.0050298031903728245,0.22581727512221955,0.0005792098783589366,0.35373409863979055,0.0006980575100055331
Explicit Imputation,MNAR,50,0.6392257050211261,0.00924559533928894,0.1523268644055455,0.0026813612643367935,0.4890797005724351,0.013526156547000744,0.23226028255715275,0.003537321362866382,0.6046483699009799,0.003871209981347022,0.1683112649277946,0.0036917062964047444,0.22829908940564891,0.0006364429533857312,0.3569653424855413,0.0008249667775410484
Native,MAR,10,0.6974746978480888,0.0029128105855104796,0.1774993421553705,0.002006966211932486,0.4709379128137384,0.006672655014375517,0.25781610279835865,0.0027923555040762563,0.645395497979338,0.0024519516438689043,0.1978500011766,0.0023617988222688936,0.20454794753697633,0.0004883100537838145,0.31901181040257964,0.0007496226572668387
Native,MAR,20,0.6942492876093151,0.00334842066387249,0.17340645931773868,0.0019758885742325837,0.4619771025979745,0.0068786551770220125,0.25215247730349877,0.0026972586224521117,0.6383919257483224,0.003043545800498077,0.19193910879864368,0.0030569983602794742,0.20547168338233077,0.0006646293328823955,0.32014137990276725,0.0009964686630666393
Native,MAR,30,0.6866340768399332,0.00429431149258265,0.16823657198969239,0.0026387557233420395,0.4584984588287099,0.008612040335036583,0.246138984980863,0.003624140854853817,0.6301998955693635,0.003593713679472835,0.1844775438142972,0.004398548335008756,0.207304960807341,0.0008952510706195137,0.32255750418280754,0.0012197806729350238
Native,MAR,40,0.6741574137761619,0.0045312135600699514,0.1621608695834066,0.0024031434292525627,0.46081021576398057,0.007473409665523365,0.23988771717673285,0.003196618813047489,0.6212170113966147,0.0022630569199704846,0.17794314215323978,0.004172421261660045,0.2099101252718508,0.0007632968971433937,0.32596108862172807,0.0012215326578250605
Native,MAR,50,0.6525547803871474,0.004923652835486559,0.15550390791623814,0.0026573265822966226,0.4770585645090269,0.009169339340340138,0.23454042157023647,0.003772034565261291,0.613085304727628,0.0042762150009315065,0.17102044570350122,0.003750988619729497,0.2130927328626538,0.0008002487356898376,0.33009614282561006,0.0011273012794132645
Native,MCAR,10,0.6978775670629852,0.002337828616672611,0.17842619840528062,0.0018270391902932908,0.473778071334214,0.0064073490391918925,0.2592217259632134,0.002660544165798754,0.6449400232447411,0.0028931250175775027,0.19648753240943082,0.002545127713128566,0.2046699370541131,0.0006081060496013618,0.3190566327432923,0.0009379876791928058
Native,MCAR,20,0.6966345681438538,0.0036571490003840823,0.1733361061458223,0.0028596349048622097,0.4560105680317041,0.00854007883329503,0.2511807786701299,0.003981969331097054,0.6353498794016816,0.0036321054008107293,0.18894968854159822,0.0033032860695022975,0.2057371556611299,0.000784610972150475,0.32051247226220203,0.0011632237275152884
Native,MCAR,30,0.6938316792768007,0.0034321340289223262,0.169241486487524,0.0032060997855516936,0.446257155438133,0.013114267302400432,0.24539704887215213,0.005121655316429497,0.6259925019650449,0.004789697010758269,0.1818835839734559,0.004047965450151275,0.20762133657537243,0.0008420393690857142,0.32321300824637955,0.0012283497204328348
Native,MCAR,40,0.6863957944384397,0.004455933974170656,0.16254304020868998,0.0027176421669272244,0.43608542492294144,0.011743751691371694,0.2367980000741548,0.00421496605509434,0.6149211079455945,0.0038927611571814955,0.1740204991622351,0.003935646323229286,0.210553782315504,0.0007675896985545757,0.32738573774384255,0.0010660251824417858
Native,MCAR,50,0.6775424977891323,0.005675382421497349,0.15628753810281512,0.0027436859099016233,0.4296125055041832,0.009625300792939348,0.22917489885319645,0.00369829167924746,0.6048002711115361,0.00387774027519535,0.16747363576382926,0.003880739121725802,0.21329544907411346,0.0007536484652831898,0.3315751617944215,0.001118490188495053
Native,MNAR,10,0.6970497199567653,0.0030414878989236094,0.17646682252445692,0.0030037141718829248,0.46774548656979303,0.008711008854576763,0.2562495338778299,0.004285079465031739,0.6442064324801244,0.004139125793336049,0.19516922268702977,0.0030921569206393586,0.20472598584326174,0.0006230885772719602,0.31900297018126567,0.0008303988492673306
Native,MNAR,20,0.6947405915299204,0.003579263043085044,0.17203735964128042,0.0034670948186819113,0.4552840158520476,0.010890912029493752,0.2497055142702191,0.005063737885772819,0.6336599858916612,0.004681885092570215,0.18607903015539373,0.004126238591858334,0.2059044195601299,0.0009541178011513825,0.32044717740255435,0.0012879575939462359
Native,MNAR,30,0.6907683993318267,0.004352931723156851,0.1672824821551219,0.0031461758500887,0.44524438573315717,0.007814871030256848,0.24318320392545276,0.004158454199173205,0.6245863915138796,0.0045676368605415815,0.17844562688777235,0.004924142143115883,0.20783591410786287,0.0007605054111709701,0.3233823691571542,0.0008816741481890317
Native,MNAR,40,0.6813525596934263,0.004147247050296584,0.16106978535760968,0.00361135594186529,0.44092910612065167,0.009878543686396462,0.2359393747747387,0.005062799691780799,0.6145907358098487,0.0049600140542535795,0.17226435995641765,0.0039966505441562305,0.21047550496776274,0.0008698453573571855,0.32707581452004425,0.0010790573047577497
Native,MNAR,50,0.6703399823130589,0.004966069822376299,0.15387296845544818,0.0039016612315089486,0.43445618670189345,0.013501368598741745,0.22724215296085265,0.005840480453065335,0.6004516297508043,0.005946187096435782,0.16172282964747065,0.003830551146980373,0.21375938823918164,0.0004955847526608557,0.3314596067357966,0.0008944294666010093
