Approach,Mechanism,Missingness,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,AUROC_Mean,AUROC_Std,AUPRC_Mean,AUPRC_Std,Brier_Mean,Brier_Std,ECE_Mean,ECE_Std
Explicit Imputation,MAR,10,0.8205882352941176,0.04136279041123332,0.9601413375690351,0.04048163125798116,0.7714285714285715,0.03932841152066776,0.8549217867632397,0.03384168038144148,0.9179910714285715,0.029369828943578806,0.9652915245717966,0.013557653469499305,0.13476320833035527,0.028465304751894124,0.1529877701911199,0.027207378684807767
Explicit Imputation,MAR,20,0.7892156862745099,0.05202354213857224,0.9191100056398305,0.03821489538286152,0.76,0.06036053511844622,0.8309765614209251,0.044718501385323677,0.8816071428571428,0.039329905084324816,0.9458637621068879,0.020824141084250618,0.15510420476121942,0.03401584015641364,0.16384406587035924,0.037800291140525466
Explicit Imputation,MAR,30,0.7627450980392156,0.05650755583931916,0.8944407674229289,0.046910911123858166,0.7428571428571429,0.06355051611764045,0.810326346070435,0.048145289299990617,0.8419196428571428,0.05067885937674851,0.9242533949168086,0.02789912862001828,0.17311081259656116,0.03585280905080878,0.16834292348985577,0.03446682663840995
Explicit Imputation,MAR,40,0.7401960784313726,0.05791349728875517,0.8784446211695238,0.046050188864652855,0.7228571428571429,0.07363509180706586,0.7909869974479687,0.05199798630623588,0.8212053571428571,0.05070815894766284,0.9169026359991594,0.027009449354045763,0.18576763958654302,0.03663722358262006,0.18039360871794177,0.038406123509879556
Explicit Imputation,MAR,50,0.6843137254901961,0.0488231356783872,0.8507470575369436,0.04885248284834161,0.6599999999999999,0.08490849310836583,0.7390277822323009,0.05247343009114995,0.7652232142857143,0.061013110126243525,0.8877163558279946,0.030828951515849242,0.211951626224409,0.03045861524056507,0.19102863504313955,0.03301296292401169
Explicit Imputation,MCAR,10,0.8186274509803921,0.0396646130876731,0.9355751007439975,0.038051775575861896,0.7914285714285715,0.049138660425804566,0.8564277398163979,0.033362322053608895,0.9077678571428571,0.025567701717329545,0.9609509233902391,0.012574589895407473,0.13644893188554663,0.02270325699344234,0.14768572588286855,0.030349425800051285
Explicit Imputation,MCAR,20,0.7862745098039216,0.051249586967206634,0.9114486137935108,0.03764846846264711,0.7628571428571429,0.05870057282743099,0.8296147789312263,0.04450037551105909,0.8763839285714285,0.044246809971671075,0.9457154373457207,0.02035066239539875,0.15793096781716237,0.03404129372318142,0.1650539799383385,0.035818432925666575
Explicit Imputation,MCAR,30,0.7843137254901961,0.042675073535883026,0.9041062454401289,0.04879672758884165,0.77,0.04394606595830394,0.8304255876369216,0.03316488455744097,0.8720089285714285,0.04238092543066782,0.9441733730166648,0.01928187818951002,0.1579955304988337,0.031589024809230315,0.16055640307638575,0.030778957942174473
Explicit Imputation,MCAR,40,0.7450980392156863,0.0516820806008211,0.8711260256751979,0.04298378375780106,0.7385714285714287,0.05583080162698271,0.7984343853574691,0.04340646433622721,0.8303571428571429,0.05055661580563497,0.9233761037415119,0.022567330539794095,0.18029031045416213,0.036233929954493406,0.1757870918450256,0.039251435636156455
Explicit Imputation,MCAR,50,0.7392156862745098,0.052110984889467075,0.8745361340318933,0.04859212764663779,0.7257142857142858,0.05592691256338205,0.7919291578812081,0.043377552603281,0.8065178571428572,0.05603072189839625,0.9096512259939479,0.02806244679470891,0.18781404626632645,0.034983575015992835,0.18296984811039532,0.036345488063202834
Explicit Imputation,MNAR,10,0.8323529411764706,0.044746690769379795,0.9337497059643398,0.03657243479834068,0.8142857142857143,0.05365282037567297,0.8689433558004718,0.03734436331418915,0.9133482142857142,0.02305736982621608,0.9627153201345834,0.011795241065109723,0.12506371404959588,0.02211772782541598,0.137038694155019,0.021030547417385484
Explicit Imputation,MNAR,20,0.8303921568627451,0.039868153169968626,0.9237343216637448,0.027374768317424757,0.8214285714285714,0.055522128623795484,0.8684380855449705,0.03411329868738892,0.9091071428571429,0.034132745380302504,0.9612593559521331,0.013909851771985084,0.12659247111888824,0.02892784235901073,0.13267338797906597,0.03343902076029353
Explicit Imputation,MNAR,30,0.8294117647058824,0.05476172566183897,0.9082954837955901,0.044020906827778525,0.8371428571428572,0.05942799305675759,0.8701520361883948,0.04280479736813058,0.905625,0.03267764697324215,0.9594336858065171,0.014347186199391524,0.12330301122854526,0.027894569574152726,0.12359656006207362,0.032047410806270646
Explicit Imputation,MNAR,40,0.8068627450980392,0.05445602472887773,0.8890888418470535,0.04696987507996076,0.8228571428571427,0.0590654027710916,0.8534488654117214,0.04334678382562153,0.8818303571428572,0.04109724078558035,0.9474369557623769,0.02099400971135802,0.13799168350804142,0.030086701582688502,0.13832674888967006,0.03458924974219317
Explicit Imputation,MNAR,50,0.7705882352941177,0.04807132306706861,0.8375452447788099,0.0395991321318419,0.8271428571428572,0.0429572765049892,0.8318010141027623,0.035236343061360045,0.8490178571428573,0.05998770517156664,0.9271575623616528,0.04077450496038031,0.15086430641670331,0.031138012470343982,0.1383405167207706,0.0375029449934571
Native,MAR,10,0.8401960784313726,0.029342884600305902,0.971335684564272,0.031235443254344977,0.7914285714285715,0.03719487392930027,0.8714700017724212,0.024855506263603173,0.9324107142857143,0.019356898355973234,0.9725047985839577,0.008416680561606327,0.12102574420664156,0.014711344237940585,0.14463467462828344,0.01841757158266714
Native,MAR,20,0.8088235294117647,0.042615761382778096,0.9278887794873899,0.0318828914657597,0.7828571428571429,0.054368753267857624,0.8482042993832423,0.03662173961765736,0.9027678571428572,0.029714420139588964,0.9589225952217969,0.013782406962641464,0.139258758563581,0.026200085638662954,0.156479846123679,0.026794102584521952
Native,MAR,30,0.7852941176470588,0.04146051716390245,0.9134870118706326,0.05489136699927652,0.7628571428571429,0.050857311818592356,0.8295157553739742,0.03396293536273511,0.8809821428571428,0.027046195860533057,0.9484793559151738,0.014775535561380351,0.15279446837996002,0.020807250254131493,0.15806061297326404,0.021914634139351286
Native,MAR,40,0.7607843137254902,0.04200599398931746,0.884249062112129,0.04480130558301944,0.7514285714285714,0.04644158290784281,0.8113906351852833,0.035069062136902855,0.8357142857142857,0.039328411520667766,0.9273510770908328,0.018574905905963612,0.17532914023402277,0.026962525420479316,0.16660259084082119,0.030723382777513346
Native,MAR,50,0.7205882352941176,0.04116664092216347,0.8451861182191165,0.04697625256699214,0.73,0.061819876252647024,0.7810259267426957,0.037217790188974476,0.7999553571428571,0.03764793033932392,0.9080533897757217,0.020167749138297893,0.19424707480429676,0.024312204218971515,0.18240776313468815,0.04118583978995886
Native,MCAR,10,0.8254901960784313,0.03536285017106526,0.9569382794521838,0.031140558155334383,0.7814285714285715,0.04069746387747034,0.859697798015487,0.029929576079982985,0.9302678571428572,0.02126721044388393,0.971339290219752,0.00913899241160077,0.12198954088050593,0.01986579467489268,0.14104243410824266,0.01689081104134594
Native,MCAR,20,0.7941176470588236,0.04823940512908254,0.9288944655923939,0.03765215922039923,0.7585714285714287,0.056746747400129416,0.834098384774412,0.04174486510931602,0.9008928571428572,0.036502118738441364,0.9582119859205367,0.016080292925488196,0.14390173097583397,0.03399454993364135,0.1521688005649576,0.033725007120555726
Native,MCAR,30,0.8049019607843138,0.05147611646561297,0.9262846145750354,0.04742932698963919,0.7785714285714287,0.049811675413689874,0.8452845488896911,0.041948608387863504,0.8862500000000001,0.04213481189932645,0.9521439874327722,0.018079128634555616,0.14762980118158134,0.03232960263299928,0.15295530780236805,0.030152383542042194
Native,MCAR,40,0.7725490196078432,0.06531129975335812,0.8967373045992592,0.05915821533747583,0.7571428571428572,0.06780270867726616,0.8195885702579421,0.05601956616977156,0.8547321428571429,0.05760583998825017,0.9372102849282016,0.028004139277935033,0.16333110887993846,0.04516371270133503,0.16249694214658994,0.044886319429587124
Native,MCAR,50,0.753921568627451,0.05415793956285264,0.8685637781758471,0.04939047923229475,0.7571428571428572,0.052845965085129586,0.8081779323861195,0.04403746555772877,0.8316071428571428,0.059514065618513114,0.9281945804715821,0.026257107856369085,0.17127890547917568,0.0394777614804684,0.165440971433532,0.040513202375763745
Native,MNAR,10,0.85,0.0361410816920555,0.9515222237337086,0.03080865766010748,0.8242857142857144,0.04660319964306096,0.8824653764853236,0.030018710906972598,0.9276785714285714,0.01484456704603077,0.9700062370352913,0.006307371778710978,0.11512321670434844,0.013035182292645636,0.134887006761981,0.02149413810306575
Native,MNAR,20,0.8401960784313726,0.042329906207668036,0.924755111493808,0.04354794906044445,0.8371428571428572,0.044552916919266154,0.8777620185662018,0.03265183024133815,0.9108035714285714,0.022509359254050895,0.9627614491478628,0.009694939456390642,0.12342194627416798,0.021237046211011423,0.12995098381960654,0.022826930724121845
Native,MNAR,30,0.8137254901960784,0.03790375164542202,0.8758658341018147,0.032724363093531175,0.85,0.04027296764163025,0.8621370500342703,0.028747913037453353,0.8915178571428571,0.03677410120361948,0.9533944977064989,0.016726579776937558,0.13072685615558843,0.02766304551395454,0.1268265162466788,0.03769260949161517
Native,MNAR,40,0.7921568627450981,0.04648776315190614,0.849082958793773,0.04098185176812676,0.85,0.047153108933158334,0.8486540330977125,0.03438018499933361,0.8736607142857142,0.045977694324561266,0.9428921128684971,0.022962560871751247,0.14372779056976187,0.03527390404152659,0.13287296408568233,0.04686438080154909
Native,MNAR,50,0.7529411764705882,0.04471276176859364,0.7945407732079071,0.036775658402855516,0.8657142857142857,0.045507049063859724,0.8277526751386486,0.03196189153740871,0.8294642857142858,0.049220221822997214,0.9201593558136697,0.03041159628999684,0.16886006378590857,0.029061987720509472,0.14960178227401247,0.041479113372816796
