Accuracy,Precision,Recall,F1,AUROC,AUPRC,Brier,ECE,Dataset,Approach,Mechanism,Missingness,Seed
0.7022206937211359,0.17924847664184157,0.4663143989431968,0.2589558625748869,0.6437459122696452,0.19352614390113584,0.20357966776754596,0.31725848779862725,readmission,Native,MCAR,10,42
0.6952933084406013,0.1803545291917385,0.48833113166006165,0.2634204275534442,0.6473228551559054,0.1954147962875038,0.2056026936182621,0.3204597119325046,readmission,Native,MCAR,10,52
0.6954406996167829,0.17686739058900955,0.47335975341259356,0.2575158701640915,0.6448948659920875,0.19412645664790396,0.2044410269141226,0.31867944790784125,readmission,Native,MCAR,10,62
0.6994202613736857,0.18032241981053682,0.47776309995596655,0.26182432432432434,0.6472035973463816,0.1976762543087625,0.20424300209149684,0.31917118156595825,readmission,Native,MCAR,10,72
0.6992237398054436,0.17881567973311094,0.4720387494495817,0.25937575610936364,0.648288155504294,0.19771664327308924,0.2047016137742941,0.31995220300056515,readmission,Native,MCAR,10,82
0.6960793947135698,0.1784130113356333,0.47820343461030385,0.2598707824838478,0.6428678363160935,0.19031626979994887,0.20537684827787656,0.31964258080476676,readmission,Native,MCAR,10,92
0.6952933084406013,0.17539223781998348,0.4676354029062087,0.25510449195291857,0.6446528073385764,0.20063433136404812,0.20417342893841048,0.31823144688465815,readmission,Native,MCAR,10,102
0.6980937407880515,0.18015191545574638,0.4804051078819903,0.26203914975381287,0.6456237692368813,0.1954708973327523,0.20486687275749885,0.3194408490184987,readmission,Native,MCAR,10,112
0.6936720055026039,0.1769882659713168,0.47820343461030385,0.2583561317949328,0.6463428834792394,0.1945061933846312,0.20486801040277788,0.3196256605384274,readmission,Native,MCAR,10,122
0.698142871180112,0.1763329433394618,0.46455306032584764,0.2556336321783378,0.6395123026453707,0.1961330817908703,0.20516440538654981,0.3190868049479309,readmission,Native,MCAR,10,132
0.6977498280436278,0.1803656728710262,0.4821664464993395,0.26252697194917285,0.6465247957745017,0.1976489854855543,0.2054555983732399,0.32031648601705937,readmission,Native,MCAR,10,142
0.7025154760734991,0.18190988567585742,0.4764420959929547,0.2632923713347122,0.6481242505903779,0.19773038303574583,0.20358619115662732,0.31786708760678245,readmission,Native,MCAR,10,152
0.6966198290262356,0.17820639630728652,0.4760017613386173,0.2593258966054936,0.6388918089499388,0.19453936093065596,0.20517989865654926,0.3188287564324081,readmission,Native,MCAR,10,162
0.7000589564704727,0.1786791820315119,0.4693967415235579,0.25883209906519367,0.6427580265984728,0.19534766862289057,0.20404715509648605,0.3174086233442292,readmission,Native,MCAR,10,172
0.6984376535324752,0.17855361596009975,0.47291941875825627,0.25923244026068065,0.6462174771047531,0.19711005271249982,0.2050022572421715,0.3197841998041438,readmission,Native,MCAR,10,182
0.6993711309816253,0.17782987273945078,0.4676354029062087,0.2576731772412956,0.6469524558622525,0.19943051868730322,0.2049395247747847,0.3201303689986676,readmission,Native,MCAR,10,192
0.6985850447086568,0.17938931297709923,0.4760017613386173,0.2605761118476558,0.6491366939952725,0.20043243371132397,0.20385906942346618,0.31818190454657747,readmission,Native,MCAR,10,202
0.6984867839245357,0.17664770826363332,0.46499339498018494,0.2560310340647351,0.6441948549149302,0.19534456557453989,0.20454052173343007,0.318325031713827,readmission,Native,MCAR,10,212
0.6979954800039304,0.1792452830188679,0.47688243064729197,0.2605557560447492,0.645230589814426,0.19967361874527795,0.20451606086035012,0.3191360626506983,readmission,Native,MCAR,10,222
0.6948511349120566,0.17481016837240013,0.4663143989431968,0.2542922319606195,0.6403145260054224,0.19697199259217896,0.2052548938363217,0.31960575935167546,readmission,Native,MCAR,10,232
0.7004028692148964,0.17329690968072392,0.4469396741523558,0.24975393700787402,0.6350695687601082,0.18419286903021445,0.2052978075414936,0.32006970781221994,readmission,Native,MCAR,20,42
0.6945072221676329,0.17299088649544325,0.45970937912813736,0.25138454129544907,0.6329211384083856,0.18871271826021552,0.20573724253869724,0.319336097190021,readmission,Native,MCAR,20,52
0.698044610395991,0.1756236397120375,0.4619110523998239,0.25448811256671516,0.6386664792632767,0.18604138822208652,0.20484175643912073,0.3191139288499206,readmission,Native,MCAR,20,62
0.6972585241230225,0.17558779389694848,0.46367239101717306,0.25471698113207547,0.6345949482464939,0.1867511583338704,0.206711845104357,0.32206741218729945,readmission,Native,MCAR,20,72
0.6949493956961776,0.17227030625832224,0.4557463672391017,0.2500301968836816,0.6349876893554072,0.1910857195404887,0.20632371963312246,0.3219858676837928,readmission,Native,MCAR,20,82
0.691362877075759,0.16987654320987655,0.45442536327608984,0.24730409777138748,0.6287762020487115,0.1880994957465743,0.2062200287477795,0.3203882918250845,readmission,Native,MCAR,20,92
0.6966689594182962,0.17240221588047674,0.4522236900044033,0.2496353913466213,0.6371662537631348,0.19268411007528763,0.20523730160845566,0.32057061992967084,readmission,Native,MCAR,20,102
0.6951459172644198,0.17444554783184377,0.46411272567151035,0.25357873210633947,0.6384536415125587,0.18737344866505817,0.20528640426859823,0.32014279649828575,readmission,Native,MCAR,20,112
0.6961285251056304,0.16976037799527505,0.4429766622633201,0.24545565450774673,0.6340109076272962,0.18457989327947363,0.20610923245558418,0.3208980007984613,readmission,Native,MCAR,20,122
0.6934754839343618,0.17097844112769486,0.45398502862175255,0.24840380677026863,0.6338467470304806,0.18522507913381756,0.2058217614825065,0.32002104206639015,readmission,Native,MCAR,20,132
0.6936720055026039,0.1698867421718854,0.44914134742404227,0.24652567975830816,0.6352964325441669,0.18980888711495886,0.20683942495132598,0.32290098436562586,readmission,Native,MCAR,20,142
0.6971111329468409,0.17796890506119747,0.47380008806693086,0.2587471444030299,0.6436765369762644,0.1936693447314487,0.20559658978774906,0.32131956551226554,readmission,Native,MCAR,20,152
0.6986833054927778,0.17392772711921647,0.45354469396741526,0.2514341511046015,0.6343177514573742,0.19369828110349174,0.20432453281134672,0.31814293038669944,readmission,Native,MCAR,20,162
0.6882185319838853,0.17078687994829536,0.46543372963452223,0.24988179669030733,0.6285411807626232,0.18406124454157424,0.20755291374321716,0.3220892753735751,readmission,Native,MCAR,20,172
0.6985359143165962,0.17005292812019807,0.4385733157199472,0.24507874015748032,0.6315427762482663,0.1890931406677921,0.2060624655965146,0.32053145817578443,readmission,Native,MCAR,20,182
0.69981330451017,0.17316533287927804,0.4478203434610304,0.24975442043222004,0.6364303862031755,0.19326680973820887,0.20519706985656058,0.319890989133607,readmission,Native,MCAR,20,192
0.7036454750908913,0.18013267562510632,0.4663143989431968,0.25987730061349695,0.6415125708445569,0.18943625614851006,0.20471225388282782,0.31987420028505503,readmission,Native,MCAR,20,202
0.699911565294291,0.17554540842212074,0.4570673712021136,0.2536656891495601,0.6367940525138098,0.19106782609242906,0.2051532519857569,0.3193300849276458,readmission,Native,MCAR,20,212
0.6936720055026039,0.171962926183383,0.4575077058564509,0.24996992662095513,0.6355442501506033,0.1868097173250507,0.2061981200735436,0.3211324438826092,readmission,Native,MCAR,20,222
0.701483737840228,0.17605993529712244,0.45530603258476443,0.2539292730844794,0.6348480743169378,0.193336383081413,0.20551939071404074,0.32044374836002776,readmission,Native,MCAR,20,232
0.7003046084307752,0.16951493181425858,0.432408630559225,0.2435515873015873,0.6194297745366278,0.17753169164282295,0.2072099132827565,0.3222083255532942,readmission,Native,MCAR,30,42
0.6916576594281222,0.1669715616164976,0.4420959929546455,0.2423949782713665,0.6243882451808095,0.1818277596644783,0.20769549959259356,0.3228876490379827,readmission,Native,MCAR,30,52
0.6931315711899381,0.16747532206792706,0.44077498899163364,0.24272550921435498,0.6277985923950214,0.1774857314919734,0.2069455981924758,0.32222456387810167,readmission,Native,MCAR,30,62
0.6929841800137565,0.1729694179546202,0.46323205636283576,0.25188555010175984,0.6285047033356368,0.1870089316491703,0.2085690433918084,0.3253963808902907,readmission,Native,MCAR,30,72
0.6944089613835118,0.1696503262506274,0.4464993394980185,0.24587778855480116,0.6258264980162781,0.18532774025886817,0.20764449117555928,0.3237386747522627,readmission,Native,MCAR,30,82
0.6938193966787854,0.17019150707743547,0.45002201673271686,0.24697921701304978,0.6252535856908941,0.1851500145695006,0.20751312725889887,0.32274618718567777,readmission,Native,MCAR,30,92
0.6949985260882382,0.16809981453380543,0.43901365037428447,0.24311143623506462,0.627156718739046,0.18590827269831833,0.20706558060169655,0.32277810037753973,readmission,Native,MCAR,30,102
0.689692443745701,0.17426316637139636,0.4764420959929547,0.25518867924528305,0.6395836747004426,0.18522741273881987,0.20682501850909338,0.32311849781035956,readmission,Native,MCAR,30,112
0.6939667878549671,0.17386288727752142,0.46455306032584764,0.25302794100011994,0.6313237777572095,0.1781459338979429,0.20835709609869552,0.32475352748332387,readmission,Native,MCAR,30,122
0.6910680947233959,0.16927383500740983,0.4526640246587406,0.2464046021093001,0.6264905917337524,0.178029007335938,0.20823312848264036,0.32374200667211156,readmission,Native,MCAR,30,132
0.6950967868723592,0.17115159618920275,0.45090268604139144,0.24812212260722075,0.6260784552506102,0.18511409270494023,0.20821773778582264,0.3248102905105558,readmission,Native,MCAR,30,142
0.6940159182470276,0.17129091211164646,0.45398502862175255,0.24873341375150784,0.6310156798633864,0.18712330012015607,0.20762922950030735,0.32382934528943,readmission,Native,MCAR,30,152
0.699715043726049,0.17564600574227326,0.4579480405107882,0.25390625,0.6287462384479727,0.18844055425459044,0.2060323374407058,0.3208402777982916,readmission,Native,MCAR,30,162
0.6841407094428613,0.16402714932126697,0.4469396741523558,0.2399810852346613,0.6202899892133472,0.17639601364940774,0.2091347075389997,0.32443705815270973,readmission,Native,MCAR,30,172
0.6965215682421145,0.1668372569089048,0.43064729194187584,0.24050165990409442,0.6212189825900157,0.17852701614596433,0.20899863944262775,0.3244423871480864,readmission,Native,MCAR,30,182
0.696374177065933,0.1648087806551192,0.4231616028181418,0.2372253764502592,0.6224701485953524,0.18068108995840254,0.20650733978283858,0.32107630384163677,readmission,Native,MCAR,30,192
0.6948511349120566,0.16519374575118967,0.42800528401585203,0.23838136112814223,0.622642953709244,0.1809777572067667,0.20718467659644907,0.32271487501524837,readmission,Native,MCAR,30,202
0.6943598309914513,0.16817876344086022,0.44077498899163364,0.24346345615955248,0.6286462542589161,0.1838795199447961,0.20655754708816745,0.3217897997740603,readmission,Native,MCAR,30,212
0.6917559202122433,0.16724854530340816,0.4429766622633201,0.2428192131305817,0.619753067299903,0.1776947209000892,0.2082363804158909,0.32329801890120197,readmission,Native,MCAR,30,222
0.693770266286725,0.16817420435510888,0.4420959929546455,0.24365975003033613,0.6232321079864307,0.17719511863617116,0.20786963932942096,0.3234278948554253,readmission,Native,MCAR,30,232
0.6884641839441878,0.159014745308311,0.4178775869660942,0.23036776307804346,0.6075222079469995,0.16483867749820677,0.21033379006331634,0.32653215198602004,readmission,Native,MCAR,40,42
0.6894467917853985,0.16584158415841585,0.4425363276089828,0.2412675549153763,0.6217629783970109,0.17702194202699137,0.20888277510166212,0.32503827687924297,readmission,Native,MCAR,40,52
0.6844354917952246,0.15866491285761264,0.424922941435491,0.23105471088231774,0.6105666364059867,0.16954165638954752,0.21020426903911738,0.3264189278466231,readmission,Native,MCAR,40,62
0.6892011398250958,0.16658444334813352,0.4460590048436812,0.24257662835249041,0.6152972083591359,0.1716462420474033,0.2109729821473557,0.3280667444725654,readmission,Native,MCAR,40,72
0.6891028790409748,0.15993294216261525,0.4200792602377807,0.23166585721223895,0.6108491051329853,0.17786714155331254,0.21082742089024836,0.328348386444505,readmission,Native,MCAR,40,82
0.6837967966984376,0.16513908988583373,0.4522236900044033,0.24193168433451118,0.6156974982012708,0.1733517059170161,0.21080473154389642,0.327100735354297,readmission,Native,MCAR,40,92
0.6891520094330352,0.1632348057123879,0.4328489652135623,0.23706740624623177,0.6182032514926463,0.1806606898798655,0.20953216134291897,0.32660733317683444,readmission,Native,MCAR,40,102
0.6805050604303823,0.16423357664233576,0.4557463672391017,0.24145573311559548,0.6217270975634565,0.17427976744177992,0.21090627203397525,0.3282603441525375,readmission,Native,MCAR,40,112
0.6860076643411614,0.15995378012545394,0.42668428005284015,0.23268099411694082,0.6121308922093738,0.16781675049750852,0.21177121281931582,0.3286439360133953,readmission,Native,MCAR,40,122
0.6839441878746192,0.16650641025641025,0.4575077058564509,0.24415462342850427,0.6215291259470342,0.1768450604430578,0.21025174260566015,0.3270661182246954,readmission,Native,MCAR,40,132
0.688562444728309,0.16557053600789215,0.4434169969176574,0.2411109780917036,0.6153699927578428,0.1755500759683033,0.21054457375731997,0.3275665504089376,readmission,Native,MCAR,40,142
0.6834528839540139,0.16147354754949692,0.4381329810656099,0.2359777066287205,0.6134888362636663,0.1760677326878914,0.21135546779082293,0.328573619533384,readmission,Native,MCAR,40,152
0.6919033113884249,0.1632996632996633,0.42712461470717744,0.23626842041164292,0.6119676447657705,0.17613032775638604,0.20939750067996482,0.3253969000435547,readmission,Native,MCAR,40,162
0.675002456519603,0.15698041692987996,0.4376926464112726,0.23108218063466232,0.611907754090421,0.17418439775227448,0.211496226255858,0.32814413115932733,readmission,Native,MCAR,40,172
0.6904785300186695,0.16205334675390035,0.42536327608982827,0.23469387755102042,0.6141637173644217,0.17654877729027516,0.21064889375175538,0.3274781856745543,readmission,Native,MCAR,40,182
0.6939176574629066,0.16375063699677256,0.4244826067811537,0.23633243442020102,0.6168231482537357,0.17618368886881008,0.2096545116436892,0.3268250713604946,readmission,Native,MCAR,40,192
0.687825488847401,0.16306321175111405,0.4350506384852488,0.23721488595438175,0.6113003489243651,0.17838641294319585,0.20998294750696794,0.32664154004204937,readmission,Native,MCAR,40,202
0.6804067996462612,0.1623604465709729,0.4482606781153677,0.23837958084533428,0.6156171894200948,0.17219755413130627,0.21122386568169163,0.327915868693076,readmission,Native,MCAR,40,212
0.6846320133634667,0.16100032690421706,0.4337296345222369,0.2348313267373942,0.6159624465619696,0.16960315322740374,0.21125177058313935,0.3283574239167739,readmission,Native,MCAR,40,222
0.6876780976712195,0.16220238095238096,0.4319682959048877,0.23584565452578435,0.616535078853702,0.17168822892416663,0.21103253107140485,0.328732509493983,readmission,Native,MCAR,40,232
0.6775572369067505,0.15531641503372953,0.42580361074416556,0.22760974461574673,0.6045598415233558,0.16386523351850243,0.2132768093722336,0.3315695502399122,readmission,Native,MCAR,50,42
0.6797681045494743,0.15953182619849288,0.4381329810656099,0.23389750822755054,0.6104839899525873,0.17399046909850896,0.21210120699986562,0.3301587223741632,readmission,Native,MCAR,50,52
0.6762307163211162,0.15857707509881422,0.44165565830030823,0.23336435551419266,0.6045385102643169,0.16272024327504042,0.2127243379569274,0.3299493574746626,readmission,Native,MCAR,50,62
0.6822737545445613,0.15819485174323883,0.42756494936151473,0.23094303722202403,0.5989197567954001,0.16421213678397734,0.2137824376302607,0.33206796711384867,readmission,Native,MCAR,50,72
0.6784907143559006,0.154120123037073,0.4191985909291061,0.22537878787878787,0.6034005022050458,0.17385951099029973,0.21259150984795191,0.3313889749775709,readmission,Native,MCAR,50,82
0.6678785496708264,0.153893600616808,0.43945398502862176,0.22795797167656465,0.6061503839638802,0.16641105904571507,0.2135061083157001,0.33125757658172367,readmission,Native,MCAR,50,92
0.6862041859094036,0.16129032258064516,0.43152796125055043,0.23481490355816462,0.6090010656619741,0.17136822410789737,0.21256657982181743,0.3318069640100822,readmission,Native,MCAR,50,102
0.668959418296158,0.15420343706456108,0.4385733157199472,0.2281786941580756,0.6106411497081087,0.1677536947080425,0.2132972223023141,0.33177239491904525,readmission,Native,MCAR,50,112
0.6807507123906849,0.15606183889340927,0.4222809335094672,0.22789923954372623,0.6036968021593663,0.16393358735584712,0.21396924592077549,0.33244535658745367,readmission,Native,MCAR,50,122
0.676672889849661,0.15331402831402832,0.4196389255834434,0.2245787675268057,0.606512601404751,0.17344056004982433,0.21243231327674714,0.3307084973707137,readmission,Native,MCAR,50,132
0.6763289771052373,0.15776121769462503,0.4381329810656099,0.2319888085800886,0.6055688758229245,0.16343769328659333,0.21367583881792418,0.3320336555623758,readmission,Native,MCAR,50,142
0.6673872457502211,0.15651244464803787,0.45134302069572874,0.23242630385487528,0.6083111966731612,0.1680795893414206,0.21452272769567363,0.3334284819881469,readmission,Native,MCAR,50,152
0.6806524516065638,0.1597747385358005,0.4372523117569353,0.23403252415743578,0.6032477621110719,0.17001858459272162,0.2120151652512063,0.32885513219085927,readmission,Native,MCAR,50,162
0.6664537683010711,0.15009293680297398,0.42668428005284015,0.22206943966998968,0.5996611276253855,0.163984823646539,0.21447803741492055,0.3327078005897281,readmission,Native,MCAR,50,172
0.6789820182765058,0.1543700340522134,0.4191985909291061,0.22564588765110216,0.5982435485786429,0.1652025496686036,0.21411418114319705,0.33138271744379577,readmission,Native,MCAR,50,182
